,Korea_Rep,Kenya,Thailand,Argentina,China,Egypt,Ghana,Greece,Ukraine,Colombia,South Africa,Morocco
0,54.3202439,48.68,51.035,63.978,33.3,45.4,47.1,69.3,69.5,57.1,52.7,42.0
1,54.924,49.533,52.364,64.36,40.5,46.0,47.3,70.3,69.6,57.7,53.1,43.8
2,55.5195122,50.224,52.79,64.244,50.8,46.8,47.4,70.3,69.3,58.3,53.4,44.3
3,55.97487805,50.808,53.244,64.449,51.4,47.7,47.6,70.6,69.8,58.9,53.6,44.8
4,57.17478049,51.328,53.978,64.363,52.2,48.5,47.7,70.6,70.2,59.4,53.9,45.4
5,58.2404878,51.7,54.712,64.593,52.9,49.1,47.8,71.4,69.9,59.8,54.2,46.0
6,59.50470732,52.097,55.254,64.891,53.6,49.5,47.7,71.8,69.7,60.2,54.4,46.6
7,61.28812195,52.455,55.754,64.992,54.4,49.5,47.7,71.3,69.6,60.5,54.6,47.2
8,61.559,52.781,56.207,64.89,55.1,49.9,47.6,71.4,69.6,60.9,54.9,47.8
9,62.05102439,53.169,56.932,64.859,55.7,49.8,47.6,72.0,69.0,61.2,55.2,48.3
10,62.16341463,53.575,57.711,65.589,56.6,50.0,47.8,72.8,68.8,61.6,55.6,48.8
11,62.61219512,54.258,58.524,65.541,57.6,50.4,47.8,73.0,69.0,62.1,56.0,49.2
12,63.0097561,55.012,59.051,65.923,58.4,50.8,48.0,72.8,68.9,62.6,56.3,49.7
13,63.40731707,55.677,59.836,66.323,59.4,50.9,48.4,73.0,69.0,63.1,56.7,50.2
14,63.80487805,55.634,60.552,66.563,60.2,51.8,48.8,73.4,68.9,63.6,57.1,50.7
15,64.15365854,55.826,61.272,67.081,60.9,52.6,49.2,73.4,69.0,64.3,57.5,51.2
16,64.50243902,55.895,61.978,67.228,61.8,53.4,49.8,73.6,69.0,64.8,58.0,51.9
17,64.9,56.486,62.354,67.861,62.5,54.1,50.1,73.7,68.8,65.4,58.5,52.7
18,65.19756098,56.944,62.74,68.197,63.2,55.0,50.6,74.4,68.8,66.0,59.0,53.5
19,65.54634146,57.722,63.209,68.491,63.9,55.8,50.9,74.6,68.5,66.4,59.4,54.4
20,66.04634146,58.501,64.012,68.564,64.4,56.6,51.1,74.5,68.3,66.9,59.8,55.2
21,66.54634146,61.165,64.595,68.976,65.0,57.1,51.3,75.0,68.6,67.2,60.4,56.0
22,67.09512195,60.953,65.163,68.937,65.5,57.9,51.4,75.3,68.9,67.5,60.9,56.9
23,67.54634146,61.012,65.789,69.267,65.9,58.9,51.6,75.5,68.8,67.7,61.5,57.7
24,68.19512195,60.804,66.733,69.195,66.3,59.7,52.1,75.8,68.5,68.0,61.9,58.5
25,68.79512195,60.58,67.587,69.651,66.6,60.5,52.4,76.1,68.6,66.3,62.4,59.3
26,69.44634146,60.216,68.419,70.119,67.0,61.3,53.1,76.5,70.1,68.3,62.9,60.0
27,69.99756098,60.044,69.448,70.564,67.3,62.1,53.8,76.3,70.5,68.3,63.0,60.7
28,70.54878049,59.539,69.689,71.052,67.6,63.0,54.5,77.0,70.5,68.4,63.3,61.3
29,71.04878049,59.04,70.122,71.425,67.8,63.6,55.2,76.7,70.5,68.5,63.3,61.9
30,71.59756098,58.614,70.445,71.784,68.0,64.1,55.6,76.9,70.1,68.6,63.4,62.4
31,72.04634146,58.005,70.717,72.319,68.2,64.8,56.0,77.1,69.3,68.8,63.3,62.9
32,72.49756098,57.259,70.885,72.43,68.7,65.0,56.2,77.4,68.8,69.0,63.3,63.4
33,72.99756098,56.617,71.068,72.565,69.2,65.5,56.4,77.4,68.1,69.3,63.0,63.9
34,73.39756098,56.273,71.227,73.172,69.5,65.8,56.1,77.6,67.5,69.6,62.6,64.3
35,73.7,55.617,70.948,73.133,70.0,66.3,56.6,77.6,66.7,69.9,62.3,64.7
36,74.15121951,55.161,71.653,73.307,70.3,66.7,56.8,77.7,67.0,70.2,61.5,65.2
37,74.60243902,54.816,72.501,73.09,70.7,67.2,57.2,78.1,67.6,70.5,60.8,65.6
38,75.00487805,54.526,72.862,73.474,71.2,67.5,57.6,77.8,68.4,70.7,60.0,66.0
39,75.4097561,54.495,72.542,73.722,71.4,67.7,58.0,78.0,68.0,70.9,59.2,66.4
40,75.9097561,54.411,72.316,73.926,71.9,68.0,58.2,77.9,67.7,71.3,58.5,66.8
41,76.41219512,54.508,72.613,74.186,72.6,68.3,58.1,78.4,67.8,71.5,57.3,67.2
42,76.76585366,54.99,72.93,74.408,73.0,68.6,58.6,78.6,68.3,71.9,55.7,67.5
43,77.21463415,55.601,73.155,74.08,73.4,68.4,59.1,78.8,68.2,72.4,54.3,67.9
44,77.66585366,56.361,73.08,74.855,73.7,68.6,59.2,79.0,68.2,72.7,54.0,68.2
45,78.16829268,57.344,73.82,75.139,74.1,68.8,59.8,79.2,68.0,73.1,54.0,68.7
46,78.66829268,58.222,74.938,75.433,74.5,69.0,60.0,79.4,68.1,73.5,54.3,69.1
47,79.1195122,58.865,75.187,75.006,74.8,69.1,60.2,79.4,68.2,73.8,55.0,69.6
48,79.51707317,59.614,75.492,75.641,74.9,69.3,60.5,79.9,68.3,74.3,56.0,70.0
49,79.96829268,60.365,75.842,75.936,75.3,69.5,60.9,80.2,69.2,74.7,57.4,70.5
