,Korea_Rep,Kenya,Thailand,Argentina,China,"Egypt, Arab Rep.",Ghana,Greece,Ukraine,Colombia,South Africa,Morocco
1960,158.3,102.1,103.8,,89.5,,176.1,520.3,,257.0,529.6,172.6
1961,93.8,98.5,110.7,,75.8,,183.2,590.8,,280.6,543.0,167.2
1962,106.2,103.8,117.2,1163.2,70.9,,189.9,617.1,,296.9,560.7,191.2
1963,146.3,106.5,121.6,855.3,74.3,,206.6,695.2,,281.0,601.6,208.1
1964,123.6,110.4,129.6,1179.5,85.5,,226.6,783.7,,336.7,642.7,213.8
1965,108.7,106.0,141.9,1285.3,98.5,160.6,262.3,899.3,,315.2,681.1,219.5
1966,133.5,118.8,165.6,1278.0,104.3,167.0,265.1,997.4,,288.6,718.1,208.5
1967,161.2,120.8,171.7,1065.9,96.6,173.0,212.6,1068.1,,301.1,775.2,215.0
1968,198.4,127.5,179.9,1143.8,91.5,178.7,198.0,1154.4,,299.9,813.5,224.7
1969,243.4,132.1,192.5,1331.6,100.1,191.9,227.4,1324.1,,316.3,887.2,244.3
1970,279.3,139.8,198.0,1324.7,113.2,231.2,249.9,1494.4,,344.3,948.6,257.7
1971,301.2,149.5,200.4,1374.4,118.7,242.1,265.4,1652.3,,365.3,1016.5,276.5
1972,324.2,171.0,216.1,1411.2,131.9,256.0,225.5,1899.7,,396.0,1034.5,314.0
1973,406.9,196.6,278.8,2100.0,157.1,272.0,255.8,2502.8,,460.6,1364.2,376.8
1974,563.4,224.9,343.4,2846.3,160.1,243.3,291.8,2828.7,,540.2,1650.5,452.1
1975,617.5,238.7,363.8,2026.6,178.3,300.0,275.2,3153.2,,559.7,1664.5,516.6
1976,834.1,246.4,405.5,1946.3,165.4,335.8,263.1,3390.5,,641.6,1554.0,537.8
1977,1055.9,308.3,461.7,2125.5,185.4,354.9,294.6,3886.4,,796.6,1666.5,604.3
1978,1405.8,351.5,548.0,2139.6,156.4,356.3,328.1,4694.6,,930.4,1846.9,705.2
1979,1783.6,399.1,611.5,2510.6,184.0,422.7,349.1,5705.9,,1092.3,2196.7,825.6
1980,1715.4,448.8,707.4,2746.2,194.8,495.3,374.6,5893.7,,1276.0,3034.7,1097.7
1981,1883.5,408.3,745.7,2763.4,197.1,493.0,345.7,5380.3,,1358.5,3080.8,874.8
1982,1992.5,369.4,767.1,2914.9,203.3,600.0,320.7,5579.2,,1421.9,2769.1,847.3
1983,2198.9,330.9,822.7,3539.5,225.4,653.9,312.5,5019.9,,1381.1,3019.1,758.5
1984,2413.3,330.2,842.1,2651.2,250.7,697.9,330.7,4852.6,,1333.4,2590.0,675.0
